,RegionName,CrimeCases2005,CrimeCases2006,CrimeCases2007,CrimeCases2008,CrimeCases2009,CrimeCases2010,CrimeCases2011,CrimeCases2012,CrimeCases2013,CrimeCases2014,CrimeCases2015
0,Alameda,7364.0,7434.0,7127.0,7138.0,6313.0,5854.0,5853.0,6634.0,6135.0,5406.0,5185.0
1,Butte,3961.0,3781.0,3488.0,3049.0,2775.0,2901.0,2835.0,2583.0,2612.0,2402.0,3154.0
2,Contra Costa,8767.0,8163.0,8373.0,7841.0,6453.0,6429.0,5880.0,5571.0,5152.0,5128.0,4896.0
3,El Dorado,5213.0,5084.0,4560.0,4566.0,4360.0,4499.0,4940.0,4539.0,4556.0,4429.0,4570.0
4,Fresno,14886.0,14846.0,14230.0,13826.0,11960.0,10567.0,11042.0,12337.0,10264.0,8356.0,9689.0
5,Kern,28012.0,27513.0,26124.0,25253.0,25248.0,24743.0,24322.0,28069.0,25850.0,22285.0,24576.0
6,Kings,1671.0,1459.0,1146.0,1578.0,1418.0,1478.0,1647.0,1404.0,1537.0,1143.0,1189.0
7,Los Angeles,56204.0,55208.0,57055.0,54927.0,49480.0,47857.0,43432.0,45085.0,42811.0,41184.0,43163.0
8,Madera,3485.0,3793.0,3186.0,3282.0,2842.0,3182.0,3901.0,4034.0,3468.0,3097.0,3176.0
9,Marin,2267.0,2368.0,1904.0,2228.0,2015.0,1857.0,1727.0,1684.0,1621.0,1417.0,1686.0
10,Merced,4868.0,4822.0,5399.0,5730.0,4839.0,5027.0,5562.0,5165.0,4759.0,4014.0,4084.0
11,Monterey,4485.0,3970.0,4356.0,3530.0,3804.0,3103.0,2992.0,3081.0,3240.0,3203.0,2992.0
12,Napa,932.0,1004.0,1288.0,1136.0,806.0,870.0,850.0,790.0,825.0,631.0,714.0
13,Orange,3527.0,3591.0,3343.0,3181.0,3041.0,2931.0,3107.0,3329.0,2970.0,2834.0,2967.0
14,Placer,4604.0,4560.0,4523.0,4479.0,4546.0,4504.0,4497.0,3907.0,4058.0,3786.0,3920.0
15,Riverside,36271.0,36177.0,34417.0,29847.0,23584.0,22680.0,19568.0,18075.0,16981.0,14956.0,17148.0
16,Sacramento,60897.0,60054.0,36397.0,37809.0,37715.0,34940.0,29109.0,32021.0,30153.0,28585.0,28593.0
17,San Benito,778.0,647.0,777.0,722.0,654.0,778.0,613.0,656.0,510.0,563.0,428.0
18,San Bernardino,15786.0,15060.0,15824.0,16452.0,14104.0,13408.0,14670.0,14958.0,14089.0,12426.0,12956.0
19,San Diego,21579.0,19963.0,18584.0,17983.0,15137.0,14872.0,14523.0,16158.0,14265.0,12116.0,11931.0
20,San Francisco,80696.0,826828.0,81972.0,86325.0,81130.0,76380.0,76681.0,89557.0,111003.0,103949.0,119730.0
21,San Joaquin,11648.0,12822.0,12726.0,12970.0,11096.0,10336.0,11196.0,10740.0,9954.0,9030.0,8848.0
22,San Luis Obispo,3547.0,3243.0,3197.0,3111.0,2782.0,3077.0,3131.0,3064.0,3254.0,2985.0,3345.0
23,San Mateo,4260.0,3829.0,3676.0,3971.0,3667.0,3994.0,4399.0,5658.0,6217.0,5388.0,6267.0
24,Santa Barbara,3707.0,3674.0,3596.0,4129.0,3845.0,3537.0,3600.0,4212.0,4092.0,3695.0,3896.0
25,Santa Clara,5157.0,5661.0,4161.0,4211.0,3971.0,4034.0,3348.0,3884.0,3358.0,3063.0,3183.0
26,Santa Cruz,6257.0,5813.0,5333.0,5287.0,5561.0,5086.0,5336.0,4397.0,4355.0,3989.0,4475.0
27,Shasta,2831.0,2296.0,2654.0,3113.0,3101.0,3290.0,2989.0,3033.0,2987.0,2869.0,3333.0
28,Solano,1178.0,1225.0,1431.0,1095.0,958.0,184.0,1044.0,178.0,1061.0,993.0,1019.0
29,Sonoma,5911.0,5068.0,4522.0,4537.0,4210.0,3959.0,3647.0,4038.0,3915.0,3967.0,4231.0
30,Stanislaus,10736.0,10757.0,9463.0,8335.0,7932.0,6984.0,5515.0,5522.0,5642.0,4921.0,5048.0
31,Sutter,2501.0,2283.0,2136.0,1661.0,1295.0,1609.0,1964.0,1715.0,1949.0,1453.0,1336.0
32,Ventura,2699.0,3053.0,2993.0,3100.0,2938.0,3050.0,2575.0,2755.0,2318.0,2006.0,2051.0
33,Yolo,726.0,801.0,848.0,780.0,770.0,855.0,987.0,1052.0,913.0,734.0,798.0
34,Yuba,2956.0,2906.0,2740.0,2845.0,2057.0,2394.0,3111.0,3014.0,2989.0,3020.0,2911.0
35,Alpine,208.0,192.0,178.0,172.0,146.0,166.0,224.0,94.0,78.0,56.0,88.0
36,Amador,1240.0,1072.0,1122.0,1345.0,1054.0,1090.0,1308.0,1087.0,1019.0,879.0,781.0
37,Calaveras,1702.0,1574.0,1365.0,1470.0,1338.0,1474.0,2152.0,2120.0,1928.0,1878.0,1534.0
38,Colusa,629.0,682.0,688.0,553.0,646.0,563.0,620.0,619.0,664.0,378.0,398.0
39,Del Norte,895.0,600.0,567.0,748.0,733.0,923.0,1058.0,963.0,717.0,908.0,975.0
40,Glenn,368.0,326.0,285.0,298.0,252.0,393.0,362.0,528.0,865.0,570.0,420.0
41,Humboldt,2132.0,2258.0,2064.0,2190.0,2813.0,2915.0,2638.0,2500.0,2617.0,2159.0,2062.0
42,Inyo,585.0,422.0,474.0,476.0,411.0,379.0,391.0,488.0,461.0,472.0,330.0
43,Lake,2213.0,2054.0,1820.0,2123.0,1951.0,2196.0,1756.0,2011.0,1958.0,1729.0,2087.0
44,Lassen,403.0,358.0,309.0,369.0,275.0,334.0,367.0,455.0,427.0,436.0,497.0
45,Mariposa,909.0,737.0,674.0,600.0,653.0,663.0,795.0,768.0,750.0,676.0,714.0
46,Mendocino,2055.0,1986.0,2083.0,1953.0,1720.0,1734.0,1688.0,1734.0,1920.0,1696.0,1560.0
47,Modoc,122.0,258.0,247.0,214.0,144.0,146.0,237.0,238.0,254.0,186.0,176.0
48,Mono,176.0,208.0,214.0,224.0,172.0,168.0,156.0,136.0,156.0,154.0,112.0
49,Nevada,1778.0,1567.0,1459.0,1405.0,1611.0,1433.0,1399.0,1698.0,1811.0,1462.0,1715.0
50,Plumas,1212.0,1049.0,831.0,856.0,866.0,871.0,927.0,1022.0,922.0,739.0,706.0
51,Sierra,113.0,126.0,168.0,83.0,113.0,126.0,122.0,139.0,168.0,80.0,68.0
52,Siskiyou,798.0,657.0,543.0,536.0,512.0,542.0,599.0,426.0,402.0,401.0,394.0
53,Tehama,1596.0,1390.0,1236.0,1176.0,1040.0,920.0,1006.0,984.0,878.0,756.0,846.0
54,Trinity,314.0,264.0,266.0,176.0,296.0,264.0,268.0,356.0,272.0,368.0,442.0
55,Tuolumne,398.0,1874.0,1973.0,1845.0,1723.0,1713.0,1630.0,1742.0,1726.0,1558.0,1870.0
